incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-04-25,午後,東京都中野区中央１丁目,東京都,声かけ,False,（東京）中野区中央１丁目で声かけ　４月２５日午後,http://this.kiji.is/1156191354107445727?c=134733695793120758
2024-05-27,午後,東京都中野区江古田１丁目,東京都,車上狙い,False,（東京）中野区江古田１丁目で車上狙い　５月２７日午後,http://this.kiji.is/1168072364988252379?c=134733695793120758
2024-05-27,昼,東京都中野区丸山１丁目,東京都,車上狙い,False,（東京）中野区丸山１丁目で車上狙い　５月２７日昼,http://this.kiji.is/1168069768438563404?c=134733695793120758
2024-05-27,午前,東京都大田区大森東４丁目,東京都,不審な行動,False,（東京）大田区大森東４丁目で不審な行動　５月２７日午前,http://this.kiji.is/1168061284172432363?c=134733695793120758
2024-06-10,午後,東京都足立区綾瀬１丁目,東京都,危険物所持,False,（東京）足立区綾瀬１丁目で危険物所持の疑い　６月１０日午後,http://this.kiji.is/1173171355629650525?c=134733695793120758
2024-06-10,午後,東京都千代田区三番町,東京都,暴行,False,（東京）千代田区三番町で暴行　６月１０日午後,http://this.kiji.is/1173159479508337121?c=134733695793120758
2024-04-23,夕方,東京都世田谷区深沢６丁目,東京都,つきまとい,False,（東京）世田谷区深沢６丁目でつきまとい　４月２３日夕方,http://this.kiji.is/1156052720257418185?c=134733695793120758
2024-04-23,夜,東京都足立区中川４丁目,東京都,下半身露出,False,（東京）足立区中川４丁目で下半身露出　４月２３日夜,http://this.kiji.is/1156037227993071808?c=134733695793120758
2024-05-27,夕方,東京都足立区中川２丁目,東京都,下半身露出,False,（東京）足立区中川２丁目で下半身露出　５月２７日夕方,http://this.kiji.is/1168000596146406213?c=134733695793120758
2024-04-25,未明,東京都世田谷区池尻３丁目,東京都,下半身露出,False,（東京）世田谷区池尻３丁目で下半身露出　４月２５日未明,http://this.kiji.is/1155979002729579164?c=134733695793120758
2024-04-24,夜,東京都府中市白糸台６丁目,東京都,下半身露出,False,（東京）府中市白糸台６丁目で下半身露出　４月２４日夜,http://this.kiji.is/1155977206322708678?c=134733695793120758
2024-04-24,夕方,東京都狛江市猪方２丁目,東京都,つきまとい,False,（東京）狛江市猪方２丁目でつきまとい　４月２４日夕方,http://this.kiji.is/1155879327400428064?c=134733695793120758
2024-04-18,,東京都八王子市大塚,東京都,車上狙い,False,（東京）八王子市大塚で車上狙い　４月１８日,http://this.kiji.is/1155843958423732429?c=134733695793120758
2024-04-24,夕方,東京都羽村市小作台４丁目付近,東京都,モノかけ,False,（東京）羽村市小作台４丁目付近でモノかけ　４月２４日夕方,http://this.kiji.is/1155843420101018620?c=134733695793120758
2024-05-27,午後,東京都多摩市馬引沢２丁目,東京都,盗撮,False,（東京）多摩市馬引沢２丁目で盗撮の疑い　５月２７日午後,http://this.kiji.is/1167810082127511949?c=134733695793120758
2024-05-27,午後,東京都立川市上砂町５丁目,東京都,盗撮,False,（東京）立川市上砂町５丁目で盗撮　５月２７日午後,http://this.kiji.is/1167804642871345726?c=134733695793120758
2024-06-11,朝,東京都多摩市中沢１丁目,東京都,痴漢,False,（東京）多摩市中沢１丁目で痴漢　６月１１日朝,http://this.kiji.is/1173101048466080558?c=134733695793120758
2024-05-27,夕方,東京都杉並区堀ノ内２丁目,東京都,撮影,False,（東京）杉並区堀ノ内２丁目で撮影　５月２７日夕方,http://this.kiji.is/1167801532069610159?c=134733695793120758
2024-04-24,午後,東京都狛江市猪方２丁目,東京都,暴言,False,（東京）狛江市猪方２丁目で暴言類似行為　４月２４日午後,http://this.kiji.is/1155791513071993553?c=134733695793120758
2024-04-23,夕方,東京都荒川区西日暮里４丁目,東京都,下半身露出,False,（東京）荒川区西日暮里４丁目で下半身露出　４月２３日夕方,http://this.kiji.is/1155790534211617162?c=134733695793120758
2024-06-10,夕方,東京都八王子市めじろ台４丁目,東京都,声かけ,False,（東京）八王子市めじろ台４丁目で声かけ　６月１０日夕方,http://this.kiji.is/1173057121856323829?c=134733695793120758
2024-05-27,午後,東京都杉並区上高井戸１丁目,東京都,つきまとい,False,（東京）杉並区上高井戸１丁目でつきまとい　５月２７日午後,http://this.kiji.is/1167730186570400546?c=134733695793120758
2024-06-10,午後,東京都練馬区大泉学園町７丁目,東京都,声かけ,False,（東京）練馬区大泉学園町７丁目で声かけ　６月１０日午後,http://this.kiji.is/1173036365043450583?c=134733695793120758
2024-06-10,夜,東京都練馬区西大泉５丁目,東京都,下半身露出,False,（東京）練馬区西大泉５丁目で下半身露出　６月１０日夜,http://this.kiji.is/1173035167370150465?c=134733695793120758
2024-06-11,未明,東京都練馬区南大泉３丁目,東京都,痴漢,False,（東京）練馬区南大泉３丁目で痴漢　６月１１日未明,http://this.kiji.is/1173033991171228409?c=134733695793120758
2024-06-10,夕方,東京都江戸川区篠崎町６丁目,東京都,暴行,False,（東京）江戸川区篠崎町６丁目で暴行　６月１０日夕方,http://this.kiji.is/1173033116205302581?c=134733695793120758
2024-06-11,未明,東京都江東区住吉１丁目,東京都,下半身露出,False,（東京）江東区住吉１丁目で下半身露出　６月１１日未明,http://this.kiji.is/1172990058911875449?c=134733695793120758
2024-06-02,夕方,東京都江東区深川２丁目,東京都,つきまとい,False,（東京）江東区深川２丁目でつきまとい　６月２日夕方,http://this.kiji.is/1172988811647385831?c=134733695793120758
2024-05-27,未明,東京都中野区丸山２丁目,東京都,痴漢,False,（東京）中野区丸山２丁目で痴漢　５月２７日未明,http://this.kiji.is/1167574893118210461?c=134733695793120758
